title,location,rating,reviews,guests,bedrooms,beds,bathrooms,price,days booked
Comfort zone,rental unit in North Center,4.84,99 ,4,2,2,1,$111,3
Heart of Logan Sq - Cozy 2-bdr a block from the L.,residential home in Logan Square,4.80,41 ,6,2,2,1,$143,31
Walk to Lake Michigan From a Contemporary Uptown Haven,rental unit in Uptown,4.87,343 ,2,1,1,1,$120,2
Cozy Andersonville Cabin,guest suite in Andersonville,5.0,52 ,4,1,2,1,$98,87
Windy City Studio - No Cleaning Fee,rental unit in Logan Square,4.90,153 ,2,S,1,1,$120,75
101 Mid-Century Rustic Studio,rental unit in North Lawndale,4.80,20 ,4,S,2,1,$85,79
North Side Pied-à-terre,rental unit in Roscoe Village,4.78,137 ,4,2,2,1,$131,15
🔝 Sweet adorable apt amazing location free parking,rental unit in West Town/Noble Square,4.90,10 ,6,3,3,1,$132,2
Andersonville cozy 1 bedroom basement suite,rental unit in Andersonville,4.99,150 ,2,1,1,1,$109,18
"Bright, Charming Loft in Andersonville",guesthouse in Uptown,4.92,212 ,2,S,1,1,$135,7
"Beautiful 1-bedroom, 1-bathroom Bucktown Apartment",guest suite in Bucktown,4.84,150 ,2,1,1,1,$110,75
Nonna's house,rental unit in Portage Park,4.75,106 ,5,2,2,1,$79,107
Bucktown Abode,guest suite in Bucktown,4.98,86 ,2,1,1,1,$121,33
Cozy nook 2 blocks from train & metra,rental unit in Garfield Park,4.96,25 ,6,2,2,1,$121,3
Cozy 2BD/1BA in Charming Logan Square,rental unit in Logan Square,4.67,76 ,5,2,3,1,$120,18
Garfield Manor,rental unit in Garfield Park,4.86,42 ,8,3,5,1,$100,19
West Town Nook,condominium (condo) in Ukrainian Village,4.57,126 ,6,2,2,1,$83,43
Historic huge 3 Bdrm Apt w/Parking & Private Porch,rental unit in Uptown,4.97,70 ,6,3,4,1,$124,6
Comfort zone,rental unit in North Center,4.84,99 ,4,2,2,1,$111,3
